cell	view	take	runway_task_id	status	prompt_sha256
classical-muhammad-ar	on_skin	b	1fd30cf8-b485-4cda-aad6-ad07bac2dd6f	SUCCEEDED	f4421c40219645c67b69fba66a9230d0398ae17cd0299bad9a0a0e148c91cf17
classical-muhammad-ar	close_up	a	0891a6b9-3e43-4ad6-b4e9-de1977d9dadc	SUCCEEDED	448683a01ea29c84fb3d3e17aa7401790ed2ba18827935dab15775c6e011b811
classical-muhammad-ar	close_up	b	b2649253-91cb-4696-89e3-cc4a7b1bf259	SUCCEEDED	448683a01ea29c84fb3d3e17aa7401790ed2ba18827935dab15775c6e011b811
classical-muhammad-ar	dark	a	1a54c032-01d2-469f-a6f5-e2ec86660363	SUCCEEDED	5329dc566c37deebfe0447a64cf4982b70e89abfdceb5f1bd362192a709b5965
classical-muhammad-ar	dark	b	923c6003-4a6e-4205-97a0-92af1761fd53	SUCCEEDED	5329dc566c37deebfe0447a64cf4982b70e89abfdceb5f1bd362192a709b5965
diamond-rails-muhammad-ar	on_skin	a	55e5908a-9e64-4c67-b7ab-bc442f652b47	SUCCEEDED	f8e9dc84880e560fda0e69606408223b362c4d7dd76e4db9a1671b9210ddd190
diamond-rails-muhammad-ar	on_skin	b	c81f0df6-b0c0-4295-9935-4db338927f1e	SUCCEEDED	f8e9dc84880e560fda0e69606408223b362c4d7dd76e4db9a1671b9210ddd190
diamond-rails-muhammad-ar	close_up	a	b7da4886-4a54-49ea-b3e2-a9f03fa42cf1	SUCCEEDED	7015f1950bb34c97e04e7ffae27676be2f2ae8b32e72f22add3ccbe64a4cb520
diamond-rails-muhammad-ar	close_up	b	2916b71f-47dd-4b23-9f72-14db1ea3445e	SUCCEEDED	7015f1950bb34c97e04e7ffae27676be2f2ae8b32e72f22add3ccbe64a4cb520
diamond-rails-muhammad-ar	dark	a	95875985-5543-4bcc-95e6-7d89c7e3a58a	SUCCEEDED	37ed9c8e23a6929793e2460ea55c1d00777c339bf498ed48cd7b126399a1b9e2
diamond-rails-muhammad-ar	dark	b	a42fbf88-28e8-416b-8d4d-15e855ba92e1	SUCCEEDED	37ed9c8e23a6929793e2460ea55c1d00777c339bf498ed48cd7b126399a1b9e2
framed-minimal-muhammad-ar	on_skin	a	86e36dd0-540c-4e28-bfd7-ac96806c5cd8	SUCCEEDED	cbdb11d1e188e3aa863be46e4b267c0131e353ee01deefda2165c45e629faca8
framed-minimal-muhammad-ar	on_skin	b	05dfe7c0-731b-451d-8bd1-7ba0f5bab511	SUCCEEDED	cbdb11d1e188e3aa863be46e4b267c0131e353ee01deefda2165c45e629faca8
framed-minimal-muhammad-ar	close_up	a	e5f99746-2a12-47b5-aa8a-64dd90f7be13	SUCCEEDED	2f8d938c3239e1e5ae2a793e84487692771eb12f753e9231ea94a808c24aa1c0
framed-minimal-muhammad-ar	close_up	b	6993ace1-bd20-44e3-b5e8-1e73c74ab59e	SUCCEEDED	2f8d938c3239e1e5ae2a793e84487692771eb12f753e9231ea94a808c24aa1c0
framed-minimal-muhammad-ar	dark	a	28d57085-7beb-4324-bc00-6dee0c0c8ce5	SUCCEEDED	9d2bdc3065b3c90b104e83cffec062157704babeff1e91f3e60c851a60ea2a67
framed-minimal-muhammad-ar	dark	b	9fec5087-54b3-4152-96b6-e89ac3cdf567	SUCCEEDED	9d2bdc3065b3c90b104e83cffec062157704babeff1e91f3e60c851a60ea2a67
framed-minimal-salma-ar	on_skin	a	04b41e70-33f3-42cd-a485-3b6c5a12e0e2	SUCCEEDED	d58328e60bda6683f3ca830c8905db4d71411e40717d0bac90b1398d07751f81
framed-minimal-salma-ar	on_skin	b	c2be084a-c4b4-481d-bb56-b0d6fc39ab24	SUCCEEDED	d58328e60bda6683f3ca830c8905db4d71411e40717d0bac90b1398d07751f81
framed-minimal-salma-ar	close_up	a	558298f1-1baa-4c4e-9904-1aae3e772f1f	SUCCEEDED	7d2cff48f804f64d0ba6618f639897645990dfac6fad7a76c54f67ada8aba8ac
framed-minimal-salma-ar	close_up	b	1d290dff-f65c-49d0-b485-4df242dbdc0e	SUCCEEDED	7d2cff48f804f64d0ba6618f639897645990dfac6fad7a76c54f67ada8aba8ac
framed-minimal-salma-ar	dark	a	722cc5c3-283e-47a8-848d-44b458232f07	SUCCEEDED	80bfc87268af83472e99b44ce2c9d703392cf6011b7d3a9a147d50e440e63fb6
framed-minimal-salma-ar	dark	b	66e93153-1e36-4ea1-b8f2-e85ce5bd10ff	SUCCEEDED	80bfc87268af83472e99b44ce2c9d703392cf6011b7d3a9a147d50e440e63fb6
